trait,term,Estimate,Std. Error,df,t value,lower,upper,Pr(>|t|)
ADF,FD6:locID,28.0079619879415,1.53993814510279,6.6910620739257,18.1877188229999,24.3322253793209,31.683698596562,6.02193491237036e-07
ADF,FD1:locOR,29.5985729487846,1.50492408171603,6.37605664589965,19.6678180038385,25.9681678532423,33.228978044327,6.00674258758958e-07
ADF,FD2:locOR,31.8992176997219,1.50492408171603,6.37605660833963,21.1965627284986,28.2688125993503,35.5296228000935,3.75069084630332e-07
ADF,FD3:locOR,30.9364008904222,1.466434879142,5.76891760201037,21.0963346074548,27.3130332936412,34.5597684872032,1.10843053475623e-06
ADF,FD4:locOR,31.1878056715805,1.50492408171603,6.37605661464287,20.7238398604252,27.5574005720193,34.8182107711416,4.32293684298624e-07
ADF,FD5:locOR,32.6165756357195,1.50492408171603,6.37605660807407,21.6732365652143,28.9861705353138,36.2469807361252,3.26040733914094e-07
ADF,FD6:locOR,30.8998867027111,1.50492408171603,6.37605661071805,20.5325219246121,27.2694816026454,34.5302918027769,4.58276104754204e-07
ADF,FD1:locWA,31.2163725315119,1.50942168292553,6.11863745248651,20.6810150434629,27.5402408103624,34.8925042526615,6.78444081313131e-07
ADF,FD2:locWA,32.0547701590795,1.50942168292553,6.11863741314926,21.2364579902892,28.3786384323306,35.7309018858284,5.78010884604026e-07
ADF,FD3:locWA,31.2402028923179,1.47052804743585,5.53497342157967,21.2442074442519,27.5673831657673,34.9130226188685,1.61615186897251e-06
ADF,FD4:locWA,31.1077862742588,1.50942168292553,6.11863741176462,20.6090760628047,27.4316545473128,34.7839180012049,6.92880999140365e-07
ADF,FD5:locWA,31.3187813490351,1.50942168292553,6.11863741289089,20.7488614370066,27.6426496222494,34.9949130758207,6.65147766790479e-07
ADF,FD6:locWA,31.7736102223222,1.50942168292553,6.11863741701208,21.0501880168697,28.0974784961232,35.4497419485213,6.09634160797311e-07
ADF,FD1:year2018,29.0792166325437,1.80607578664538,6.84097964374152,16.1007732054011,24.7883188909013,33.3701143741862,1.08327612883798e-06
ADF,FD2:year2018,29.5233428013474,1.80607578664536,6.84097966050996,16.3466799232077,25.2324450618943,33.8142405408005,9.78855466046704e-07
ADF,FD3:year2018,28.1159940951023,1.78098962808329,6.47331287407714,15.7867253417758,23.8341558299909,32.3978323602136,2.07151367010018e-06
ADF,FD4:year2018,29.1873642485583,1.80607578664537,6.84097966034478,16.1606530935069,24.8964665090836,33.4782619880329,1.05672265908974e-06
ADF,FD5:year2018,29.7298383795085,1.80607578664537,6.84097966205777,16.4610137621795,25.4389406402574,34.0207361187595,9.34257026930327e-07
ADF,FD6:year2018,31.2121894674831,1.80607578664537,6.84097966262356,17.2817717275625,26.921291728306,35.5030872066603,6.74401145508604e-07
ADF,FD1:year2019,29.0487157727008,1.42893716766245,6.85785519443318,20.3288964904038,25.6555668704866,32.4418646749151,2.20139019263835e-07
ADF,FD2:year2019,31.2792096090628,1.42893716766245,6.85785517335568,21.889842546563,27.886060704684,34.6723585134417,1.33454192179338e-07
ADF,FD3:year2019,30.8297723071505,1.4098899430721,6.50220781278856,21.8667935455824,27.4434677425714,34.2160768717296,2.47587969223457e-07
ADF,FD4:year2019,32.0644697779355,1.42893716766245,6.85785517442204,22.4393839726268,28.6713208736662,35.4576186822049,1.12820291019937e-07
ADF,FD5:year2019,31.4447335396663,1.42893716766245,6.85785517331523,22.0056796416777,28.0515846352833,34.8378824440493,1.28768250758017e-07
ADF,FD6:year2019,31.061602953593,1.42893716766245,6.8578551759531,21.7375568755102,27.6684540494809,34.4547518577051,1.39914412744842e-07
ADF,FD1:year2020,30.2976326217843,3.0518181457623,6.32718593133609,9.92773198621125,22.9227161560693,37.6725490874993,4.32930555959223e-05
ADF,FD2:year2020,31.7305411266032,3.05181814576233,6.32718592503647,10.3972581625361,24.3556246592151,39.1054575939912,3.28022356544926e-05
ADF,FD3:year2020,30.27963287538,3.00977546904526,5.97855073805976,10.0604291538681,22.9085680583309,37.650697692429,5.72287286556662e-05
ADF,FD4:year2020,29.0468963922766,3.05181814576233,6.32718592547815,9.51789884092876,21.6719799250059,36.4218128595474,5.56998502193704e-05
ADF,FD5:year2020,32.1252606076963,3.05181814576233,6.32718592530224,10.5265972850658,24.7503441403788,39.5001770750138,3.04486087909554e-05
ADF,FD6:year2020,28.4076664918987,3.05181814576233,6.32718592553932,9.30844012817237,21.0327500246442,35.7825829591532,6.35929091113698e-05
ADF,locID:year2018,26.8662456914217,1.99293891514802,9.49859333971855,13.4807170893275,22.3937217664742,31.3387696163693,1.65285048276006e-07
ADF,locOR:year2018,29.4847510491273,1.84824531437874,7.4694893588473,15.9528341934621,25.1694199960214,33.8000821022332,4.85018925585203e-07
ADF,locWA:year2018,32.0729760717226,1.84878934335859,7.46065917691287,17.3480965730024,27.7554131565312,36.3905389869139,2.66481044834191e-07
ADF,locID:year2019,31.4433048901013,1.51139236369353,8.17192850385136,20.8041972722824,27.9707501436687,34.9158596365338,2.28286835523518e-08
ADF,locOR:year2019,31.0277224043223,1.51021499999719,8.2352854733602,20.5452352177538,27.5624035930058,34.4930412156389,2.28903995946188e-08
