trait,term,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F)
Su_WSC,FD:loc,1.95327831576912,0.195327831576912,10,67.9170281483364,0.617270792103585,0.793952474743718
Su_WSC,FD:year,2.27351157006077,0.227351157006077,10,67.9170281474746,0.718470213066126,0.704259177851188
Su_WSC,loc:year,11.8098482493549,2.95246206233872,4,68.0215469857383,9.3303068035033,4.51820283896194e-06
Su_WSC,FD:loc:year,4.82253221989896,0.241126610994948,20,67.9170281434981,0.762003105059289,0.747290773724365
TTNDFD,FD,76.7571832208567,15.3514366441713,5,5.99999999996203,5.15046823684925,0.0352315809232062
TTNDFD,loc,174.806178934669,87.4030894673344,2,6.00000000005758,29.3240852005157,0.000799438456110577
TTNDFD,year,15.272481239393,15.272481239393,1,6.00000000001622,5.12397838356292,0.0642279224736786
TTNDFD,FD:loc,49.0249487345219,4.90249487345219,10,6.00000000006498,1.64480658796314,0.280248742414736
TTNDFD,FD:year,32.5972456571303,6.51944913142606,5,5.99999999999746,2.18730119215998,0.184189921695758
TTNDFD,loc:year,14.1167136147723,7.05835680738617,2,6.00000000004915,2.36810686735264,0.174542143392065
TTNDFD,FD:loc:year,28.0918984914042,2.80918984914042,10,6.00000000005167,0.942494401315238,0.55589309238006
