cut,year,ID,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg,Su_ESC,Su_WSC,Starch
4,2020,20714,94.2786102,24.4281731,31.0117416,34.9688759,10.5514574,1.8912758,6.086834,16.8208027,78.9551697,18.656889,81.5393677,1.4280626,0.3766491,3.0628719,0.3500007,4.2312675,6.8839145,1.4770278
4,2020,20720,94.3925552,23.9195557,30.2282944,34.4640503,10.737505,1.9398189,5.6678705,16.6291447,80.5393448,18.2424889,82.510498,1.3039757,0.3659226,2.9998233,0.3469661,4.8576899,7.361289,1.4060194
4,2020,20811,94.3461838,21.2841873,35.2659302,39.7297821,10.029686,1.8070614,6.7487268,17.4572945,76.7162704,19.5006504,78.8427048,1.1580716,0.3754033,3.2521861,0.2965034,4.8665066,7.2310944,1.2412608
4,2020,20816,94.2393951,24.1517506,30.1070957,34.1779251,11.6784849,2.0039294,5.7625785,16.2564926,79.8417206,18.8984795,83.1032486,1.3540829,0.3908404,3.252743,0.3204876,4.0307598,6.7542272,1.9229385
4,2020,20913,94.327858,22.4061623,31.938982,36.9027176,9.9021254,1.9169195,6.2425971,16.8693752,78.4765549,18.832489,80.7543564,1.3344476,0.3583713,2.9696369,0.3302884,4.8159213,7.3695078,1.5934323
4,2020,20919,94.3807831,24.430212,29.8540325,34.586834,11.4553347,2.0933931,5.5860715,17.1448383,80.5821075,19.5626488,83.2093811,1.3623171,0.3801562,3.2270308,0.3311336,3.7420535,6.6139297,1.6566361
4,2020,21004,94.3056259,24.3728886,29.6129608,34.2168579,10.5985174,1.9634956,5.6242685,16.3561764,80.1411438,18.2499847,82.7374802,1.3481308,0.3748354,3.1043177,0.3416131,4.8532529,7.4024606,1.6121483
4,2020,21013,94.2294083,23.9175873,30.8456993,34.8583832,11.1538019,1.9261644,5.7953243,17.3992424,80.1520309,18.8787766,82.6694717,1.3413422,0.3858722,3.2196059,0.3492272,4.1979942,6.9475203,1.6497068
4,2020,20117,94.140625,27.7851067,28.9417458,32.2634888,10.1085558,1.9404411,5.5751271,15.6999569,80.6294022,16.812252,83.0371323,1.2093123,0.4063797,3.0636888,0.3776892,4.7097802,6.7802682,1.2815565
4,2020,21104,94.3453217,22.1954937,32.57901,37.7215538,10.8174725,2.0098567,6.1094742,17.2286854,77.9730988,19.5662918,80.9413834,1.2124577,0.3707225,3.2240798,0.3349281,4.3097534,6.8403244,1.615167
4,2020,21109,94.3976364,23.5558052,31.6391621,35.6652603,9.7891817,1.9250474,6.1661706,16.4921474,79.3489914,18.2824802,80.7087631,1.2709688,0.3758075,3.0282898,0.3384497,5.2510571,7.6912746,1.3921031
2,2020,31017,94.2652588,23.0137157,30.462677,35.3892784,9.1042557,1.8802061,5.6588025,15.886714,78.7908249,18.0546589,81.9994888,1.2451288,0.3504277,2.4645326,0.394232,5.8480377,8.578455,2.0254107
2,2020,30103,94.5080414,20.79916,32.1028252,37.0600739,9.6392365,1.7915736,5.7254424,16.5990219,78.922966,19.1221027,81.7188721,1.1701492,0.3386336,3.0463116,0.3466259,5.9782453,8.7209501,2.0232511
2,2020,30120,94.3576889,22.1440907,32.5933456,37.5438499,8.6488333,1.8753697,5.8831134,16.8893509,78.4454956,19.3774242,81.4945526,1.1735513,0.3619311,2.9959185,0.3598602,5.7951012,8.2977028,1.3654318
2,2020,30210,94.3563232,22.3916683,31.6247845,36.2856789,10.3929043,1.912657,5.4921622,17.0658016,79.1592865,19.4541168,82.6679382,1.1688091,0.3674141,3.3326573,0.3568634,5.3797069,7.9647169,1.6432301
2,2020,30217,94.4742661,22.4823055,29.181942,33.9001694,9.7825451,1.9183733,5.3905163,15.3052807,79.486969,17.1203861,82.9233704,1.3490031,0.3292884,2.4871335,0.4060392,6.6635003,9.1905537,1.928882
