cut,block,position,gen,loc,year,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,dNDF30,IVTDMD30,NDFD30,dNDF48,IVTDMD48,NDFD48,Ca,P,K,Mg,Su_ESC,Su_WSC,Starch
1,4,1,108,OR,2021,93.88,20.9,29.93,34.76,8.33,1.93,6.66,14.4,80.58,41.42,16.28,80.78,46.82,1.59,0.31,1.99,0.34,7.64,10.17,2.07
1,6,8,109,OR,2021,94.51,19.49,33.19,38.73,7.18,1.82,7.34,15.04,78.07,38.83,17.93,78.81,46.3,1.16,0.32,2.26,0.28,7.07,9.47,1.98
1,3,10,110,OR,2021,94.56,19.3,34.13,39.69,7.77,1.74,7.43,15.24,77.3,38.39,17.55,77.73,44.23,1.33,0.31,2.15,0.29,7.26,9.58,1.55
1,7,11,111,OR,2021,93.55,19.93,32.83,38,6.78,1.89,7.09,15.18,79.08,39.94,17.02,79.11,44.79,1.34,0.31,1.97,0.31,7.29,9.68,1.96
1,4,14,112,OR,2021,94.28,21.77,27.68,31.25,8.96,2.04,5.99,15.64,83.79,50.03,16.04,83.76,51.32,1.58,0.32,2.15,0.38,7.86,10.47,1.88
1,3,2,113,OR,2021,93.97,18.32,32.07,37.56,6.85,1.72,7.26,14.12,78.67,37.6,16.8,79,44.72,1.39,0.27,2.08,0.3,7.9,10.4,2.6
1,9,2,114,OR,2021,93.02,21.37,31.58,36.4,8.96,2.01,6.83,14.47,79.7,39.74,16.27,80.51,44.68,1.33,0.33,2.45,0.31,6.57,8.93,2.18
1,4,12,115,OR,2021,94.5,19.08,30.71,35.6,9.11,1.83,6.84,14.6,78.92,41.02,16.94,80.39,47.6,1.37,0.3,2.31,0.3,7.33,10.02,2.63
1,6,2,116,OR,2021,94.47,18.26,36.56,42.08,7.29,1.53,8,15.97,75.19,37.94,18.26,76.11,43.38,1.24,0.31,2.18,0.27,6.43,8.68,1.21
1,7,10,117,OR,2021,94.22,19.45,32.01,36.9,8.59,2.05,6.96,15.49,80.1,41.98,17.71,79.93,47.99,1.26,0.31,2.3,0.29,6.8,9.27,2.38
1,8,6,118,OR,2021,93.7,19.96,30.21,35.22,8.55,2,6.65,13.92,79.95,39.5,16.26,81.13,46.16,1.3,0.32,2.43,0.28,7.61,9.97,2.75
