Loc,ID,Variety,Cutting,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg,Su_ES,Su_WS,Starc
OR_19,31103,E: 201,3,95.77012,19.00023,34.46615,40.57476,9.5539,1.92372,5.81381,16.80587,75.61994,19.78561,78.39828,1.11372,0.32333,3.27916,0.24591,6.41241,7.02894,3.53523
OR_19,31118,E: 202,3,94.08224,21.14541,29.11163,34.32644,9.28784,2.29299,4.67138,14.01825,80.31294,16.98643,82.16305,1.17164,0.33073,2.83135,0.31873,6.80105,7.36088,5.09694
OR_19,30103,E: 201,4,96.36617,21.44397,28.61767,33.13892,9.12927,2.25128,4.59591,13.85672,81.10243,18.10601,82.70773,1.12037,0.33483,2.99942,0.26948,7.77135,8.18423,4.66184
OR_19,30120,E: 202,4,96.82661,17.50195,29.91702,35.38988,8.53369,1.89797,4.78653,13.79836,79.28574,17.68985,80.0487,1.09695,0.27922,2.56543,0.23223,8.71882,9.10972,6.59103
OR_19,30210,E: 201,4,96.56294,21.68431,28.25324,32.90603,9.31376,2.19778,4.54242,14.21009,81.87462,18.52554,83.41681,1.13926,0.33072,3.17056,0.26128,7.78481,8.19614,4.47373
OR_19,30217,E: 202,4,96.26491,20.71172,28.65097,33.25389,9.07569,2.11488,4.68308,13.62616,80.70104,17.48874,82.24758,1.13069,0.31437,2.78764,0.27333,8.34402,8.75406,4.84791
OR_19,30309,E: 202,4,96.59834,21.25742,28.67787,33.48692,9.01602,2.10865,4.77614,13.53922,80.14964,17.31075,81.66211,1.24422,0.31454,2.67017,0.30055,8.30999,8.67504,4.82621
OR_19,30311,E: 144,4,96.42632,21.31067,30.17492,35.83368,8.59492,2.11672,5.24795,14.08178,78.54745,17.8602,80.43757,1.22071,0.31522,2.53532,0.28756,7.95413,8.28096,4.18297
OR_19,30317,E: 104,4,96.53963,22.00605,28.65392,34.1723,9.02662,2.30656,4.77215,13.89331,80.47878,18.36193,82.06941,1.23029,0.32802,2.72524,0.29322,7.63369,7.70813,4.97514
OR_19,30320,E: 201,4,96.64718,20.77467,28.55684,33.90035,9.02287,2.22107,4.6864,14.17992,80.81618,18.50868,82.3782,1.14708,0.32477,2.85302,0.27492,8.08211,8.50704,4.98606
OR_19,30406,E: 201,4,96.64481,20.97003,28.48644,33.6367,9.77115,2.2096,4.63235,14.12871,80.74604,18.41702,82.61254,1.19466,0.3308,3.00374,0.26757,7.38127,8.24618,4.9794
OR_19,30410,E: 44,4,97.01657,20.52334,29.43896,34.64674,9.13941,2.00585,4.87684,13.79954,79.26477,17.66814,80.67262,1.16391,0.30982,2.77977,0.26882,8.52187,8.65774,4.79249
OR_19,30413,E: 202,4,96.46525,20.76689,28.42012,34.08112,8.37102,2.24266,4.86,13.58839,80.29671,17.65277,81.80198,1.1424,0.31678,2.45292,0.29842,8.54145,8.60474,5.23025
OR_19,30414,E: 112,4,96.22747,24.45274,25.21547,28.66314,9.50493,2.30671,4.19445,12.89558,84.37428,16.58581,85.35122,1.29314,0.34833,2.76714,0.34227,8.60676,9.07069,3.96424
OR_19,30505,E: 201,4,96.28352,20.89165,27.92952,34.13406,8.44838,2.33716,4.78109,13.82628,80.15739,17.50318,81.70667,1.14904,0.31813,2.19566,0.30456,7.67315,8.5134,5.58679
OR_19,30508,E: 202,4,96.24345,21.74365,26.16175,30.89732,8.53178,2.34261,4.26145,13.27283,83.18867,17.61728,84.36102,1.13271,0.32399,2.67935,0.29934,8.54735,8.70971,5.44722
OR_19,30601,E: 201,4,96.29623,20.67994,26.36181,31.95113,8.3063,2.26344,4.56323,12.92857,81.50423,17.01789,83.06586,1.24233,0.29343,2.16015,0.3225,8.97458,9.41056,5.15299
